device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_len,network_delay_s
11268,1,2025-12-12 17:40:47.871381,2025-12-12 17:40:49.423724,0,0,58,1.552343
11268,2,2025-12-12 17:40:47.972398,2025-12-12 17:40:49.530596,0,0,59,1.558198
11268,3,2025-12-12 17:40:48.073075,2025-12-12 17:40:49.632114,0,0,59,1.559039
11268,4,2025-12-12 17:40:48.174180,2025-12-12 17:40:49.727273,0,0,59,1.553093
11268,5,2025-12-12 17:40:48.275100,2025-12-12 17:40:49.829384,0,0,58,1.554284
11268,6,2025-12-12 17:40:48.375546,2025-12-12 17:40:49.928225,0,0,59,1.552679
11268,7,2025-12-12 17:40:48.476198,2025-12-12 17:40:50.040139,0,0,59,1.563941
11268,8,2025-12-12 17:40:48.576781,2025-12-12 17:40:50.129483,0,0,59,1.552702
11268,9,2025-12-12 17:40:48.677370,2025-12-12 17:40:50.231775,0,0,59,1.554405
11268,10,2025-12-12 17:40:48.778040,2025-12-12 17:40:50.339825,0,0,60,1.561785
11268,11,2025-12-12 17:40:48.878463,2025-12-12 17:40:50.437088,0,0,60,1.558625
11268,12,2025-12-12 17:40:48.978887,2025-12-12 17:40:50.530792,0,0,60,1.551905
11268,13,2025-12-12 17:40:49.079840,2025-12-12 17:40:50.639101,0,0,60,1.559261
11268,14,2025-12-12 17:40:49.180296,2025-12-12 17:40:50.753293,0,0,60,1.572997
11268,15,2025-12-12 17:40:49.280978,2025-12-12 17:40:50.837285,0,0,59,1.556307
11268,16,2025-12-12 17:40:49.381404,2025-12-12 17:40:50.935632,0,0,60,1.554228
11268,17,2025-12-12 17:40:49.482054,2025-12-12 17:40:51.038341,0,0,60,1.556287
11268,18,2025-12-12 17:40:49.582481,2025-12-12 17:40:51.136936,0,0,60,1.554455
11268,19,2025-12-12 17:40:49.682997,2025-12-12 17:40:51.252154,0,0,60,1.569157
11268,20,2025-12-12 17:40:49.783429,2025-12-12 17:40:51.347630,0,0,60,1.564201
11268,21,2025-12-12 17:40:49.883884,2025-12-12 17:40:51.444627,0,0,60,1.560743
11268,22,2025-12-12 17:40:49.984340,2025-12-12 17:40:51.832033,0,0,60,1.847693
11268,23,2025-12-12 17:40:50.084791,2025-12-12 17:40:51.942463,0,0,60,1.857672
11268,24,2025-12-12 17:40:50.185251,2025-12-12 17:40:51.989964,0,0,60,1.804713
11268,25,2025-12-12 17:40:50.285723,2025-12-12 17:40:52.001426,0,0,59,1.715703
11268,26,2025-12-12 17:40:50.386155,2025-12-12 17:40:52.011939,0,0,60,1.625784
11268,27,2025-12-12 17:40:50.486641,2025-12-12 17:40:52.070812,0,0,60,1.584171
11268,28,2025-12-12 17:40:50.587059,2025-12-12 17:40:52.140766,0,0,60,1.553707
11268,29,2025-12-12 17:40:50.687635,2025-12-12 17:40:52.241297,0,0,60,1.553662
11268,30,2025-12-12 17:40:50.788082,2025-12-12 17:40:52.348439,0,0,60,1.560357
11268,31,2025-12-12 17:40:50.888862,2025-12-12 17:40:52.449944,0,0,60,1.561082
11268,32,2025-12-12 17:40:50.989666,2025-12-12 17:40:52.555054,0,0,60,1.565388
11268,33,2025-12-12 17:40:51.090328,2025-12-12 17:40:52.655481,0,0,60,1.565153
11268,34,2025-12-12 17:40:51.190777,2025-12-12 17:40:52.755614,0,0,60,1.564837
11268,35,2025-12-12 17:40:51.291195,2025-12-12 17:40:52.845876,0,0,60,1.554681
11268,36,2025-12-12 17:40:51.391820,2025-12-12 17:40:52.948689,0,0,60,1.556869
11268,37,2025-12-12 17:40:51.492452,2025-12-12 17:40:53.046896,0,0,60,1.554444
