device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_len,network_delay_s
15796,58,2025-12-12 17:14:18.439980,2025-12-12 17:14:20.081627,0,0,60,1.641647
15796,59,2025-12-12 17:14:18.541249,2025-12-12 17:14:20.192636,0,0,60,1.651387
15796,60,2025-12-12 17:14:18.642531,2025-12-12 17:14:20.293966,0,0,60,1.651435
15796,61,2025-12-12 17:14:18.744436,2025-12-12 17:14:20.388598,0,0,60,1.644162
15796,62,2025-12-12 17:14:18.845447,2025-12-12 17:14:20.486162,0,0,60,1.640715
15796,63,2025-12-12 17:14:18.946735,2025-12-12 17:14:20.633477,0,0,60,1.686742
15796,64,2025-12-12 17:14:19.047989,2025-12-12 17:14:20.691912,0,0,60,1.643923
15796,65,2025-12-12 17:14:19.148929,2025-12-12 17:14:20.790413,0,0,60,1.641484
15796,66,2025-12-12 17:14:19.250186,2025-12-12 17:14:20.892159,0,0,60,1.641973
15796,67,2025-12-12 17:14:19.351354,2025-12-12 17:14:21.016249,0,0,60,1.664895
15796,68,2025-12-12 17:14:19.452414,2025-12-12 17:14:21.095310,0,0,60,1.642896
15796,69,2025-12-12 17:14:19.553309,2025-12-12 17:14:21.251261,0,0,60,1.697952
15796,70,2025-12-12 17:14:19.654333,2025-12-12 17:14:21.294620,0,0,60,1.640287
15796,71,2025-12-12 17:14:19.754925,2025-12-12 17:14:21.396698,0,0,60,1.641773
15796,72,2025-12-12 17:14:19.856291,2025-12-12 17:14:21.497609,0,0,60,1.641318
15796,73,2025-12-12 17:14:19.957506,2025-12-12 17:14:21.598802,0,0,60,1.641296
15796,74,2025-12-12 17:14:20.058444,2025-12-12 17:14:21.699244,0,0,60,1.6408
15796,75,2025-12-12 17:14:20.159611,2025-12-12 17:14:21.802703,0,0,60,1.643092
15796,76,2025-12-12 17:14:20.260882,2025-12-12 17:14:21.903328,0,0,60,1.642446
15796,77,2025-12-12 17:14:20.362123,2025-12-12 17:14:22.003075,0,0,60,1.640952
15796,78,2025-12-12 17:14:20.463372,2025-12-12 17:14:22.104503,0,0,59,1.641131
15796,79,2025-12-12 17:14:20.564612,2025-12-12 17:14:22.206620,0,0,60,1.642008
15796,80,2025-12-12 17:14:20.665869,2025-12-12 17:14:22.309238,0,0,60,1.643369
15796,81,2025-12-12 17:14:20.767250,2025-12-12 17:14:22.419459,0,0,60,1.652209
15796,82,2025-12-12 17:14:20.868942,2025-12-12 17:14:22.552400,0,0,60,1.683458
15796,83,2025-12-12 17:14:20.969755,2025-12-12 17:14:22.646299,0,0,59,1.676544
15796,84,2025-12-12 17:14:21.070660,2025-12-12 17:14:22.712194,0,0,60,1.641534
15796,85,2025-12-12 17:14:21.172126,2025-12-12 17:14:22.853177,0,0,60,1.681051
15796,86,2025-12-12 17:14:21.273384,2025-12-12 17:14:22.929569,0,0,60,1.656185
15796,87,2025-12-12 17:14:21.374249,2025-12-12 17:14:23.016622,0,0,60,1.642373
15796,88,2025-12-12 17:14:21.475819,2025-12-12 17:14:23.162583,0,0,60,1.686764
15796,89,2025-12-12 17:14:21.576968,2025-12-12 17:14:23.219786,0,0,60,1.642818
15796,90,2025-12-12 17:14:21.678115,2025-12-12 17:14:23.320592,0,0,60,1.642477
15796,91,2025-12-12 17:14:21.780403,2025-12-12 17:14:23.423902,0,0,60,1.643499
15796,92,2025-12-12 17:14:21.881395,2025-12-12 17:14:23.522505,0,0,60,1.64111
15796,93,2025-12-12 17:14:21.982640,2025-12-12 17:14:23.623378,0,0,60,1.640738
15796,94,2025-12-12 17:14:22.084059,2025-12-12 17:14:23.726812,0,0,60,1.642753
